year,Country,GDPPC_I,FC,FR
2010,"Libya",9099.074,89,3.91
2011,"Libya",3415.282,111,4.82
2012,"Libya",6925.408,100,4.32
2013,"Libya",6125.321,103,4.45
1989,"Liechtenstein",69031.24,1,5.07
1990,"Liechtenstein",69749.07,1,5.03
1991,"Liechtenstein",70105.42,1,4.85
1992,"Liechtenstein",71655.47,1,4.32
1993,"Liechtenstein",73705.72,1,4.28
1994,"Liechtenstein",77628,1,4.05
1995,"Liechtenstein",80986.53,1,4.09
1996,"Liechtenstein",85297.66,1,3.80
1997,"Liechtenstein",90104.09,1,3.63
1998,"Liechtenstein",95684.24,1,3.58
1999,"Liechtenstein",104194.2,1,3.48
2000,"Liechtenstein",106194.2,1,3.29
2001,"Liechtenstein",104212.8,1,3.28
2002,"Liechtenstein",102121.4,1,3.15
2003,"Liechtenstein",99204.14,1,3.08
2004,"Liechtenstein",101317,1,2.92
2005,"Liechtenstein",105306.8,1,2.93
2006,"Liechtenstein",113469.8,1,2.92
2007,"Liechtenstein",116314,1,2.87
2008,"Liechtenstein",117493.6,0,2.62
2009,"Liechtenstein",115262.3,0,2.47
2010,"Liechtenstein",119065.9,0,2.56
2011,"Liechtenstein",121561.1,0,2.29
2012,"Liechtenstein",125541.1,0,2.32
2013,"Liechtenstein",127356.3,0,2.28
1989,"Lithuania",6710.463,182,9.63
1990,"Lithuania",6726.493,115,6.05
1991,"Lithuania",6333.936,187,9.90
1992,"Lithuania",4992.825,107,5.71
1993,"Lithuania",4202.523,116,6.28
1994,"Lithuania",3818.511,128,7.03
1995,"Lithuania",3974.62,103,5.75
1996,"Lithuania",4212.52,97,5.51
1997,"Lithuania",4560.685,84,4.86
1998,"Lithuania",4944.3,95,5.56
1999,"Lithuania",4926.062,74,4.32
2000,"Lithuania",5122.096,66,3.92
2001,"Lithuania",5512.342,86,5.22
2002,"Lithuania",5938.161,83,5.09
2003,"Lithuania",6600.019,118,6.97
2004,"Lithuania",7165.187,94,5.84
2005,"Lithuania",7851.042,118,7.54
2006,"Lithuania",8603.192,108,7.03
2007,"Lithuania",9562.656,101,6.56
2008,"Lithuania",9944.35,79,5.12
2009,"Lithuania",8573.046,76,4.86
2010,"Lithuania",8871.171,71,4.59
2011,"Lithuania",9618.23,53,3.44
2012,"Lithuania",10108.78,57,3.71
2013,"Lithuania",10543.59,60,3.92
1989,"Luxembourg",48973.89,3,1.87
1990,"Luxembourg",50937.64,3,1.79
1991,"Luxembourg",54604.35,3,1.65
1992,"Luxembourg",54864.3,3,1.65
1993,"Luxembourg",56406.66,3,1.59
1994,"Luxembourg",57769.8,3,1.55
1995,"Luxembourg",57779.79,3,1.54
1996,"Luxembourg",57862.27,3,1.54
1997,"Luxembourg",60534.43,3,1.45
1998,"Luxembourg",63667.02,2,1.35
1999,"Luxembourg",68101.97,2,1.23
2000,"Luxembourg",72865.06,2,1.11
2001,"Luxembourg",73442.9,2,1.09
2002,"Luxembourg",75058.34,2,1.06
2003,"Luxembourg",75034.27,2,1.05
2004,"Luxembourg",77619.55,2,1.00
2005,"Luxembourg",79593.55,2,0.95
2006,"Luxembourg",82157.7,2,0.90
2007,"Luxembourg",86127.24,2,0.83
2008,"Luxembourg",85013.68,2,0.85
2009,"Luxembourg",79002.73,2,0.97
2010,"Luxembourg",81564.62,2,0.92
2011,"Luxembourg",81852.98,2,0.91
2012,"Luxembourg",79780.43,2,0.96
2013,"Luxembourg",79509.23,2,0.96
1989,"Macau, China",13854.2,6,3.90
1990,"Macau, China",14493.87,6,3.84
1991,"Macau, China",14633.56,6,3.84
1992,"Macau, China",16214.92,6,3.72
1993,"Macau, China",16737.26,6,3.70
1994,"Macau, China",17156.55,6,3.68
1995,"Macau, China",17425.78,7,3.67
1996,"Macau, China",17066.04,8,3.71
1997,"Macau, China",16734.03,8,3.74
1998,"Macau, China",15705.86,8,3.81
1999,"Macau, China",15089.75,8,3.86
2000,"Macau, China",15711.35,8,3.82
2001,"Macau, China",15939.17,9,3.82
2002,"Macau, China",17121.06,8,3.73
2003,"Macau, China",18995.29,8,3.57
2004,"Macau, China",23689.99,8,3.23
2005,"Macau, China",25189.78,8,3.10
2006,"Macau, China",28122.36,8,2.86
2007,"Macau, China",31278.51,8,2.68
2008,"Macau, China",31426.57,8,2.69
2009,"Macau, China",31101.36,9,2.76
2010,"Macau, China",38689.02,8,2.36
2011,"Macau, China",45925.46,7,2.02
2012,"Macau, China",49177.1,7,1.88
2013,"Macau, China",54091.53,6,1.69
1989,"Macedonia, The former Yugoslav Rep. of",3027.528,50,6.18
1990,"Macedonia, The former Yugoslav Rep. of",3020.75,50,6.10
1991,"Macedonia, The former Yugoslav Rep. of",2841.272,61,7.45
1992,"Macedonia, The former Yugoslav Rep. of",2670.371,68,8.28
1993,"Macedonia, The former Yugoslav Rep. of",2488.487,58,7.08
1994,"Macedonia, The former Yugoslav Rep. of",2457.34,61,7.53
1995,"Macedonia, The former Yugoslav Rep. of",2432.222,61,7.53
1996,"Macedonia, The former Yugoslav Rep. of",2450.83,62,7.55
1997,"Macedonia, The former Yugoslav Rep. of",2465.554,60,7.32
1998,"Macedonia, The former Yugoslav Rep. of",2521.726,62,7.44
1999,"Macedonia, The former Yugoslav Rep. of",2603.512,62,7.37
2000,"Macedonia, The former Yugoslav Rep. of",2698.547,62,7.29
2001,"Macedonia, The former Yugoslav Rep. of",2560.248,62,7.22
2002,"Macedonia, The former Yugoslav Rep. of",2570.47,65,7.44
2003,"Macedonia, The former Yugoslav Rep. of",2634.707,67,7.63
2004,"Macedonia, The former Yugoslav Rep. of",2750.197,66,7.64
2005,"Macedonia, The former Yugoslav Rep. of",2863.963,64,7.15
2006,"Macedonia, The former Yugoslav Rep. of",3002.641,63,6.87
2007,"Macedonia, The former Yugoslav Rep. of",3182.984,64,6.87
2008,"Macedonia, The former Yugoslav Rep. of",3337.122,72,7.57
2009,"Macedonia, The former Yugoslav Rep. of",3303.595,70,7.28
2010,"Macedonia, The former Yugoslav Rep. of",3396.719,69,7.14
2011,"Macedonia, The former Yugoslav Rep. of",3489.049,67,6.91
2012,"Macedonia, The former Yugoslav Rep. of",3472.311,66,6.85
2013,"Macedonia, The former Yugoslav Rep. of",3577.263,67,6.95
1989,"Madagascar",328.1649,839,15.85
1990,"Madagascar",328.4635,754,13.81
1991,"Madagascar",298.6222,807,14.31
1992,"Madagascar",293.1557,819,14.07
1993,"Madagascar",290.3075,837,13.92
1994,"Madagascar",281.2921,740,11.92
1995,"Madagascar",277.3296,841,13.13
1996,"Madagascar",274.5121,876,13.27
1997,"Madagascar",275.7796,1035,15.22
1998,"Madagascar",277.6902,1032,14.73
1999,"Madagascar",281.6296,1044,14.46
2000,"Madagascar",286.0035,1046,14.05
2001,"Madagascar",294.0457,1032,13.43
2002,"Madagascar",249.1035,1210,15.25
2003,"Madagascar",265.4023,1147,14.00
2004,"Madagascar",271.2068,1168,13.79
2005,"Madagascar",275.5158,1186,13.57
2006,"Madagascar",281.1198,1200,13.19
2007,"Madagascar",290.2621,1176,12.43
2008,"Madagascar",302.2809,1189,12.08
2009,"Madagascar",282.094,1427,13.95
2010,"Madagascar",275.0025,1429,13.46
2011,"Madagascar",271.288,1492,13.60
2012,"Madagascar",271.7912,1531,13.52
2013,"Madagascar",270.6923,1487,12.72
1989,"Malawi",185.6453,952,24.88
1990,"Malawi",189.116,904,22.69
1991,"Malawi",201.1465,895,21.88
1992,"Malawi",184.45,762,18.35
1993,"Malawi",201.476,1097,26.19
1994,"Malawi",179.9065,506,12.01
1995,"Malawi",207.6353,614,14.40
1996,"Malawi",218.674,720,16.60
1997,"Malawi",221.4927,689,15.55
1998,"Malawi",223.7563,778,17.15
1999,"Malawi",224.0204,868,18.48
2000,"Malawi",221.3448,951,19.57
2001,"Malawi",204.8739,963,19.17
2002,"Malawi",203.0528,932,17.96
2003,"Malawi",208.7603,907,16.90
2004,"Malawi",213.1356,936,16.83
2005,"Malawi",213.1567,913,15.86
2006,"Malawi",211.2941,899,15.08
2007,"Malawi",224.496,919,15.06
2008,"Malawi",235.9148,898,14.11
2009,"Malawi",249.5513,973,14.84
2010,"Malawi",258.0578,948,14.02
2011,"Malawi",261.545,1030,14.75
2012,"Malawi",258.956,1038,14.41
2013,"Malawi",264.248,1181,15.89
1989,"Malaysia",2969.159,389,5.70
1990,"Malaysia",3147.088,387,5.48
1991,"Malaysia",3355.571,363,4.98
1992,"Malaysia",3559.517,541,7.20
1993,"Malaysia",3813.189,655,8.46
1994,"Malaysia",4060.356,534,6.70
1995,"Malaysia",4347.816,828,10.07
1996,"Malaysia",4662.481,493,5.80
1997,"Malaysia",4878.608,515,5.87
1998,"Malaysia",4408.534,484,5.34
1999,"Malaysia",4568.553,490,5.23
2000,"Malaysia",4861.857,526,5.36
2001,"Malaysia",4783.878,490,4.87
2002,"Malaysia",4940.986,478,4.65
2003,"Malaysia",5126.856,502,4.77
2004,"Malaysia",5372.234,485,4.52
2005,"Malaysia",5553.943,479,4.37
2006,"Malaysia",5756.398,489,4.37
2007,"Malaysia",6007.911,462,4.05
2008,"Malaysia",6185.503,455,3.92
2009,"Malaysia",5984.906,444,3.75
2010,"Malaysia",6318.948,459,3.80
2011,"Malaysia",6535.066,522,4.21
2012,"Malaysia",6790.384,337,2.65
2013,"Malaysia",6997.671,463,3.55
1989,"Maldives",1876.163,5,8.25
1990,"Maldives",1963.44,5,8.12
1991,"Maldives",1965.412,5,7.94
1992,"Maldives",1974.224,5,7.75
1993,"Maldives",1997.614,5,7.67
1994,"Maldives",2064.303,5,7.63
1995,"Maldives",2163.622,5,7.52
1996,"Maldives",2247.28,5,7.34
1997,"Maldives",2367.344,5,7.09
1998,"Maldives",2495.332,5,6.98
1999,"Maldives",2605.514,6,6.87
2000,"Maldives",2744.907,6,6.76
2001,"Maldives",2871.329,6,6.38
2002,"Maldives",2993.432,6,6.31
2003,"Maldives",3359.466,7,6.11
2004,"Maldives",3715.319,7,6.08
2005,"Maldives",3335.195,8,6.46
2006,"Maldives",3919.279,8,6.13
2007,"Maldives",4256.906,8,5.93
2008,"Maldives",4690.904,8,5.79
2009,"Maldives",4438.128,8,5.62
2010,"Maldives",4663.377,8,5.59
2011,"Maldives",4871.601,8,5.47
2012,"Maldives",4841.985,9,5.41
2013,"Maldives",4926.053,9,5.47
1989,"Mali",341.7952,552,25.94
1990,"Mali",329.6627,519,23.94
1991,"Mali",328.134,519,23.56
1992,"Mali",347.2661,550,24.43
1993,"Mali",331.3721,534,23.08
1994,"Mali",325.8395,583,24.46
1995,"Mali",337.2386,664,27.11
1996,"Mali",339.2862,739,29.33
1997,"Mali",353.0344,599,23.15
1998,"Mali",364.6937,654,24.58
1999,"Mali",378.9186,674,24.65
2000,"Mali",380.2482,584,20.69
2001,"Mali",414.0634,521,17.93
2002,"Mali",418.584,488,16.31
2003,"Mali",436.2211,579,18.68
2004,"Mali",432.1506,551,17.23
2005,"Mali",444.2846,599,17.33
2006,"Mali",467.3564,652,17.52
2007,"Mali",472.1194,693,17.30
2008,"Mali",480.0566,834,19.42
2009,"Mali",485.8853,866,18.86
2010,"Mali",498.4752,977,19.98
2011,"Mali",496.7829,960,19.06
2012,"Mali",480.204,1086,20.99
2013,"Mali",476.1611,1191,22.41
1989,"Malta",9153.759,6,4.39
1990,"Malta",9634.935,6,4.32
1991,"Malta",10135.95,6,4.26
1992,"Malta",10507.64,6,4.23
1993,"Malta",10874.79,6,4.21
1994,"Malta",11388.26,6,4.12
1995,"Malta",12029.08,6,4.09
1996,"Malta",12407.96,6,4.08
1997,"Malta",12971.53,6,4.04
1998,"Malta",13554.04,6,3.98
1999,"Malta",14124.8,6,3.92
2000,"Malta",15001.86,6,3.76
2001,"Malta",14331,6,3.95
2002,"Malta",14624.49,6,3.92
2003,"Malta",14547.81,6,3.94
2004,"Malta",14377.71,6,4.00
2005,"Malta",14810.04,7,3.96
2006,"Malta",15084.34,7,3.94
2007,"Malta",15675.07,7,3.86
2008,"Malta",16180.77,6,3.75
2009,"Malta",15609.58,7,3.87
2010,"Malta",16201.02,7,3.81
2011,"Malta",16358.38,7,3.80
2012,"Malta",16412.66,7,3.80
2013,"Malta",16732.3,7,3.77
1989,"Marshall Islands",2399.094,3,14.60
1990,"Marshall Islands",2385.861,3,14.76
1991,"Marshall Islands",2329.786,3,13.24
1992,"Marshall Islands",2450.607,3,14.48
1993,"Marshall Islands",2563.023,3,15.72
1994,"Marshall Islands",2685.502,3,12.85
1995,"Marshall Islands",2880.835,3,13.88
1996,"Marshall Islands",2565.071,3,13.73
1997,"Marshall Islands",2385.81,3,12.74
1998,"Marshall Islands",2307.906,3,12.97
1999,"Marshall Islands",2245.921,3,12.72
2000,"Marshall Islands",2374.346,3,12.24
2001,"Marshall Islands",2500.588,3,11.83
2002,"Marshall Islands",2567.133,3,11.67
2003,"Marshall Islands",2573.768,3,11.52
2004,"Marshall Islands",2574.367,3,11.50
2005,"Marshall Islands",2645.981,3,11.58
2006,"Marshall Islands",2695.509,3,11.47
2007,"Marshall Islands",2793.723,3,11.54
2008,"Marshall Islands",2731.927,3,11.46
2009,"Marshall Islands",2681.749,3,11.34
2010,"Marshall Islands",2841.792,3,11.44
2011,"Marshall Islands",2838.835,3,11.39
2012,"Marshall Islands",2969.465,3,10.93
2013,"Marshall Islands",3053.619,3,11.04
1989,"Mauritania",594.9457,75,14.56
1990,"Mauritania",568.5662,72,13.54
1991,"Mauritania",562.8234,98,17.83
1992,"Mauritania",557.416,102,17.84
1993,"Mauritania",573.5449,106,18.09
1994,"Mauritania",540.1824,107,17.47
1995,"Mauritania",576.2123,112,17.71
1996,"Mauritania",592.1331,112,17.01
1997,"Mauritania",551.6771,106,15.45
1998,"Mauritania",550.4202,108,15.07
1999,"Mauritania",569.8341,122,16.42
2000,"Mauritania",563.1566,130,16.73
2001,"Mauritania",562.1519,132,16.22
2002,"Mauritania",551.3273,136,15.95
2003,"Mauritania",564.8486,151,17.07
2004,"Mauritania",576.6473,152,16.53
2005,"Mauritania",590.5082,129,13.48
2006,"Mauritania",639.4818,100,10.19
2007,"Mauritania",628.1129,116,11.29
2008,"Mauritania",632.5635,119,11.18
2009,"Mauritania",608.2866,129,11.55
2010,"Mauritania",618.226,114,9.90
2011,"Mauritania",626.6647,112,9.41
2012,"Mauritania",653.8596,118,9.65
2013,"Mauritania",680.9514,121,9.62
1989,"Mauritius",2854.061,32,7.37
1990,"Mauritius",3037.461,32,7.28
1991,"Mauritius",3138.127,32,6.99
1992,"Mauritius",3298.814,32,6.95
1993,"Mauritius",3425.608,32,6.71
1994,"Mauritius",3517.699,32,6.56
1995,"Mauritius",3637.117,32,6.64
1996,"Mauritius",3801.276,33,6.58
1997,"Mauritius",3967.484,32,6.41
1998,"Mauritius",4164.319,32,6.35
1999,"Mauritius",4219.063,30,5.71
2000,"Mauritius",4554.921,31,5.83
2001,"Mauritius",4635.379,31,5.89
2002,"Mauritius",4700.592,31,5.69
2003,"Mauritius",4837.353,30,5.68
2004,"Mauritius",5083.318,31,5.70
2005,"Mauritius",5116.04,31,5.65
2006,"Mauritius",5293.257,30,5.47
2007,"Mauritius",5580.083,29,5.32
2008,"Mauritius",5865.737,29,5.20
2009,"Mauritius",6025.687,29,5.15
2010,"Mauritius",6257.836,29,5.10
2011,"Mauritius",6491.488,30,5.09
2012,"Mauritius",6680.663,30,5.06
2013,"Mauritius",6879.266,30,5.00
1989,"Mexico",6339.958,1578,5.23
1990,"Mexico",6525.853,1619,5.22
1991,"Mexico",6661.084,1621,5.07
1992,"Mexico",6759.148,1604,4.81
1993,"Mexico",6888.17,1611,4.65
1994,"Mexico",7068.218,1586,4.47
1995,"Mexico",6531.923,1548,4.26
1996,"Mexico",6786.96,1564,4.20
1997,"Mexico",7129.915,1577,4.04
1998,"Mexico",7338.335,1459,3.67
1999,"Mexico",7413.443,1449,3.61
2000,"Mexico",7689.099,1740,4.26
2001,"Mexico",7536.162,1502,3.65
2002,"Mexico",7448.26,1361,3.24
2003,"Mexico",7461.059,1427,3.37
2004,"Mexico",7687.285,1364,3.09
2005,"Mexico",7823.826,1367,3.05
2006,"Mexico",8113.652,1328,2.86
2007,"Mexico",8264.916,1279,2.70
2008,"Mexico",8275.81,1412,2.91
2009,"Mexico",7788.272,1280,2.63
2010,"Mexico",8084.629,1292,2.56
2011,"Mexico",8307.687,1271,2.51
2012,"Mexico",8532.348,1242,2.35
2013,"Mexico",8519.002,1245,2.31
1989,"Micronesia, Fed. Sts.",1943.192,6,15.51
1990,"Micronesia, Fed. Sts.",1969.01,6,14.94
1991,"Micronesia, Fed. Sts.",2062.395,6,14.54
1992,"Micronesia, Fed. Sts.",2089.807,6,13.30
1993,"Micronesia, Fed. Sts.",2205.029,6,12.66
1994,"Micronesia, Fed. Sts.",2149.402,6,12.44
1995,"Micronesia, Fed. Sts.",2269.587,6,12.07
1996,"Micronesia, Fed. Sts.",2183.015,5,11.77
1997,"Micronesia, Fed. Sts.",2047.5,5,11.78
1998,"Micronesia, Fed. Sts.",2113.276,6,12.75
1999,"Micronesia, Fed. Sts.",2151.025,6,12.11
2000,"Micronesia, Fed. Sts.",2257.094,6,12.25
2001,"Micronesia, Fed. Sts.",2302.102,5,11.78
2002,"Micronesia, Fed. Sts.",2319.96,5,11.93
2003,"Micronesia, Fed. Sts.",2366.013,5,11.96
2004,"Micronesia, Fed. Sts.",2294.738,5,11.47
2005,"Micronesia, Fed. Sts.",2352.639,5,11.77
2006,"Micronesia, Fed. Sts.",2360.174,5,11.82
2007,"Micronesia, Fed. Sts.",2324.517,6,12.93
2008,"Micronesia, Fed. Sts.",2278.001,6,13.33
2009,"Micronesia, Fed. Sts.",2311.305,6,12.65
2010,"Micronesia, Fed. Sts.",2378.119,6,12.51
2011,"Micronesia, Fed. Sts.",2431.46,6,13.17
2012,"Micronesia, Fed. Sts.",2442.69,6,13.83
2013,"Micronesia, Fed. Sts.",2341.495,6,14.25
1989,"Moldova, Republic of",1659.37,286,16.09
1990,"Moldova, Republic of",1612.972,287,16.04
1991,"Moldova, Republic of",1351.24,361,20.26
1992,"Moldova, Republic of",957.2546,479,26.94
1993,"Moldova, Republic of",946.7886,250,14.13
1994,"Moldova, Republic of",656.1791,227,12.96
1995,"Moldova, Republic of",650.3201,259,14.97
1996,"Moldova, Republic of",617.739,245,14.26
1997,"Moldova, Republic of",629.9484,235,13.78
1998,"Moldova, Republic of",589.2397,249,14.72
1999,"Moldova, Republic of",570.1001,221,13.16
2000,"Moldova, Republic of",583.2571,226,13.56
2001,"Moldova, Republic of",620.2212,197,12.16
2002,"Moldova, Republic of",670.1486,185,11.44
2003,"Moldova, Republic of",716.3929,153,10.46
2004,"Moldova, Republic of",771.3845,147,10.32
2005,"Moldova, Republic of",831.1591,142,10.02
2006,"Moldova, Republic of",873.5088,125,9.34
2007,"Moldova, Republic of",901.7739,102,7.78
2008,"Moldova, Republic of",973.9744,97,7.45
2009,"Moldova, Republic of",916.694,91,7.34
2010,"Moldova, Republic of",982.7864,103,8.45
2011,"Moldova, Republic of",1050.201,105,8.50
2012,"Moldova, Republic of",1042.992,97,8.14
2013,"Moldova, Republic of",1136.11,103,8.49
1989,"Monaco",107335.4,1,5.07
1990,"Monaco",109705,1,5.03
1991,"Monaco",110115.4,1,4.85
1992,"Monaco",110730.7,1,4.32
1993,"Monaco",108721.2,1,4.28
1994,"Monaco",110089,1,4.05
1995,"Monaco",111405.4,1,4.09
1996,"Monaco",111657.2,1,3.80
1997,"Monaco",113165,1,3.63
1998,"Monaco",116107.5,1,3.58
1999,"Monaco",118891,1,3.48
2000,"Monaco",122438.5,1,3.29
2001,"Monaco",124015.4,1,3.28
2002,"Monaco",124187.3,1,3.15
2003,"Monaco",124338.4,1,3.08
2004,"Monaco",125965.8,0,2.92
2005,"Monaco",126599.4,0,2.93
2006,"Monaco",130821,1,2.92
2007,"Monaco",147140.8,0,2.87
2008,"Monaco",158802.5,0,2.62
2009,"Monaco",156633.1,0,2.47
2010,"Monaco",162328.1,0,2.56
2011,"Monaco",164514.6,0,2.29
2012,"Monaco",169615.2,0,2.32
2013,"Monaco",174798.7,0,2.28
1989,"Mongolia",891.4986,60,8.19
1990,"Mongolia",846.0605,55,7.43
1991,"Mongolia",760.7429,59,7.60
1992,"Mongolia",682.4517,97,12.17
1993,"Mongolia",655.0744,103,12.61
1994,"Mongolia",663.9822,110,13.18
1995,"Mongolia",700.9283,131,15.52
1996,"Mongolia",710.8613,172,19.87
1997,"Mongolia",732.5142,140,15.88
1998,"Mongolia",750.5864,148,16.37
1999,"Mongolia",766.9321,150,16.19
2000,"Mongolia",768.8376,135,14.21
2001,"Mongolia",784.2783,119,12.23
2002,"Mongolia",813.4766,104,10.40
2003,"Mongolia",861.514,103,10.05
2004,"Mongolia",942.4956,111,10.55
2005,"Mongolia",998.7563,111,10.22
2006,"Mongolia",1070.236,102,9.22
2007,"Mongolia",1163.74,108,9.50
2008,"Mongolia",1249.139,113,10.00
2009,"Mongolia",1215.113,113,9.48
2010,"Mongolia",1273.154,91,7.53
2011,"Mongolia",1473.602,90,7.21
2012,"Mongolia",1631.306,94,7.43
2013,"Mongolia",1795.527,105,8.08
1989,"Montenegro",3280.3,25,10.14
1990,"Montenegro",3270.584,24,9.71
1991,"Montenegro",3207.625,23,9.47
1992,"Montenegro",3145.943,23,9.12
1993,"Montenegro",3094.725,22,8.85
1994,"Montenegro",3065.042,22,8.63
1995,"Montenegro",3116.045,21,8.46
1996,"Montenegro",3168.525,20,8.14
1997,"Montenegro",3272.558,20,7.99
1998,"Montenegro",3437.765,19,7.86
1999,"Montenegro",3117.57,19,7.72
2000,"Montenegro",3215.114,18,7.37
2001,"Montenegro",3248.732,18,7.21
2002,"Montenegro",3306.133,18,7.27
2003,"Montenegro",3382.582,18,7.15
2004,"Montenegro",3524.395,17,6.97
2005,"Montenegro",3665.315,17,6.89
2006,"Montenegro",3972.631,17,6.78
2007,"Montenegro",4389.299,17,6.48
2008,"Montenegro",4686.712,17,6.47
2009,"Montenegro",4416.17,17,6.68
2010,"Montenegro",4520.083,16,6.50
2011,"Montenegro",4661.749,16,6.58
2012,"Montenegro",4539.874,16,6.45
2013,"Montenegro",4689.113,17,6.63
1989,"Morocco",1405.053,693,9.15
1990,"Morocco",1416.943,732,9.43
1991,"Morocco",1496.231,829,10.42
1992,"Morocco",1427.46,733,8.91
1993,"Morocco",1389.55,742,8.75
1994,"Morocco",1524.382,899,10.36
1995,"Morocco",1405.799,795,8.86
1996,"Morocco",1571.144,960,10.42
1997,"Morocco",1517.31,877,9.21
1998,"Morocco",1615.78,955,9.75
1999,"Morocco",1603.216,898,8.89
2000,"Morocco",1608.99,828,8.16
2001,"Morocco",1710.937,859,8.62
2002,"Morocco",1748.901,865,8.62
2003,"Morocco",1840.621,922,8.80
2004,"Morocco",1910.193,919,8.50
2005,"Morocco",1948.202,878,8.05
2006,"Morocco",2079.627,949,8.66
2007,"Morocco",2116.009,866,7.80
2008,"Morocco",2212.611,893,7.94
2009,"Morocco",2293.296,954,8.45
2010,"Morocco",2348.586,924,8.13
2011,"Morocco",2432.824,943,8.13
2012,"Morocco",2461.563,926,7.84
2013,"Morocco",2530.774,1017,8.46
1989,"Mozambique",187.4256,1485,24.89
1990,"Mozambique",186.8819,1089,18.05
1991,"Mozambique",191.4451,1213,19.52
1992,"Mozambique",175.888,1082,16.65
1993,"Mozambique",184.1458,1303,19.06
1994,"Mozambique",189.4765,1153,16.04
1995,"Mozambique",188.1636,1268,16.92
1996,"Mozambique",196.1729,1324,17.06
1997,"Mozambique",210.4895,1341,16.78
1998,"Mozambique",227.3237,1199,14.50
1999,"Mozambique",239.5996,1144,13.42
2000,"Mozambique",235.8849,1007,11.48
2001,"Mozambique",256.7853,980,10.88
2002,"Mozambique",271.7002,1208,13.06
2003,"Mozambique",280.0427,1208,12.74
2004,"Mozambique",296.1772,1207,12.45
2005,"Mozambique",313.1079,1228,12.38
2006,"Mozambique",324.0031,1281,12.64
2007,"Mozambique",338.4398,1347,12.99
2008,"Mozambique",348.6913,1507,14.22
2009,"Mozambique",361.7653,1578,14.56
2010,"Mozambique",377.7094,1575,14.20
2011,"Mozambique",395.6575,1588,14.00
2012,"Mozambique",413.2061,1555,13.38
2013,"Mozambique",433.1328,1601,13.47
1989,"Myanmar",,3622,18.58
1990,"Myanmar",,3437,17.31
1991,"Myanmar",,3656,17.95
1992,"Myanmar",,3653,17.48
1993,"Myanmar",,3535,16.48
1994,"Myanmar",,3594,16.32
1995,"Myanmar",,3576,15.82
1996,"Myanmar",,3473,14.95
1997,"Myanmar",,3519,14.73
1998,"Myanmar",,3639,14.84
1999,"Myanmar",,3680,14.63
2000,"Myanmar",,3391,13.18
2001,"Myanmar",,3243,12.34
2002,"Myanmar",,3491,13.05
2003,"Myanmar",,3661,13.46
2004,"Myanmar",,3637,13.17
2005,"Myanmar",,3482,12.42
2006,"Myanmar",,3554,12.49
2007,"Myanmar",,3640,12.60
2008,"Myanmar",,3646,12.45
2009,"Myanmar",,3685,12.40
2010,"Myanmar",,3699,12.27
2011,"Myanmar",,3842,12.58
2012,"Myanmar",,3907,12.60
2013,"Myanmar",,4014,12.77
1989,"Namibia",2867.418,27,6.39
1990,"Namibia",2813.407,30,6.64
1991,"Namibia",2937.896,32,6.91
1992,"Namibia",3050.214,30,6.24
1993,"Namibia",2913.886,32,6.42
1994,"Namibia",2878.736,37,7.06
1995,"Namibia",2903.492,37,6.96
1996,"Namibia",2906.38,38,6.93
1997,"Namibia",2938.297,38,6.71
1998,"Namibia",2948.226,40,6.71
1999,"Namibia",2969.728,42,6.80
2000,"Namibia",3007.361,46,7.15
2001,"Namibia",2990.275,45,6.79
2002,"Namibia",3090.233,47,6.84
2003,"Namibia",3183.965,49,6.91
2004,"Namibia",3535.219,48,6.57
2005,"Namibia",3582.244,52,6.92
2006,"Namibia",3787.222,51,6.59
2007,"Namibia",3983.896,50,6.29
2008,"Namibia",4031.068,50,6.04
2009,"Namibia",3981.315,52,6.30
2010,"Namibia",4153.078,53,6.37
2011,"Namibia",4289.624,52,6.27
2012,"Namibia",4427.308,52,6.16
2013,"Namibia",4565.445,49,5.67
1989,"Nepal",228.5754,2433,28.12
1990,"Nepal",233.4696,2612,29.33
1991,"Nepal",242.2089,2311,25.26
1992,"Nepal",245.7828,2184,23.15
1993,"Nepal",248.7095,2063,21.20
1994,"Nepal",262.2502,2181,21.72
1995,"Nepal",264.4694,2147,20.74
1996,"Nepal",271.594,2192,20.55
1997,"Nepal",278.2937,2253,20.50
1998,"Nepal",279.8604,2208,19.51
1999,"Nepal",285.5807,2380,20.47
2000,"Nepal",296.8241,2389,20.13
2001,"Nepal",304.8779,2221,18.36
2002,"Nepal",299.5743,2333,18.93
2003,"Nepal",306.0262,2291,18.28
2004,"Nepal",315.2609,2302,18.07
2005,"Nepal",321.455,2279,17.59
2006,"Nepal",327.8379,2190,16.65
2007,"Nepal",334.8942,2145,16.07
2008,"Nepal",351.2854,2117,15.61
2009,"Nepal",363.1212,2258,16.35
2010,"Nepal",376.3422,2507,17.79
2011,"Nepal",384.7719,2718,18.86
2012,"Nepal",398.7731,2622,17.76
2013,"Nepal",409.0439,2565,16.95
1989,"Netherlands",29956.94,59,0.86
1990,"Netherlands",30995.93,90,1.31
1991,"Netherlands",31502.73,87,1.25
1992,"Netherlands",31798.87,91,1.28
1993,"Netherlands",31975.11,90,1.25
1994,"Netherlands",32724.02,93,1.27
1995,"Netherlands",33577.45,91,1.24
1996,"Netherlands",34443.2,87,1.16
1997,"Netherlands",35645.36,109,1.42
1998,"Netherlands",36980.96,89,1.14
1999,"Netherlands",38400.38,94,1.18
2000,"Netherlands",39795.81,110,1.35
